Time,MidPrice,BestBid,BestAsk,Spread,Imbalance,TruePrice
0,99.94,99.64,100.24,0.5999999999999943,-0.06666666666222222,99.86932641058746
1,99.785,99.64,99.93,0.29000000000000625,-0.052631578944598335,99.75272902761708
2,99.755,99.64,99.87,0.23000000000000398,0.03448275861950059,99.47661416587552
3,99.755,99.64,99.87,0.23000000000000398,-0.08571428571183674,99.5790025275139
4,99.755,99.64,99.87,0.23000000000000398,0.0,99.5736905445685
5,99.755,99.64,99.87,0.23000000000000398,0.21951219511659728,99.7294713641638
6,99.75999999999999,99.64,99.88,0.23999999999999488,0.24528301886329656,99.78071953573014
7,99.75999999999999,99.64,99.88,0.23999999999999488,0.29411764705305654,99.85381809442842
8,99.75999999999999,99.64,99.88,0.23999999999999488,0.2499999999947917,99.43165738228501
9,99.67,99.64,99.7,0.060000000000002274,0.02325581395294754,99.47277417732043
10,99.66499999999999,99.63,99.7,0.07000000000000739,-0.04999999999875,99.79475558978824
11,99.66499999999999,99.63,99.7,0.07000000000000739,-0.024390243901844143,99.9070151045585
12,99.66499999999999,99.63,99.7,0.07000000000000739,0.05263157894598339,99.73704983840955
13,99.66499999999999,99.63,99.7,0.07000000000000739,0.02564102564036818,99.6867642979872
14,99.79499999999999,99.71,99.88,0.1700000000000017,-0.13513513513148284,99.88201851264226
15,99.79499999999999,99.71,99.88,0.1700000000000017,-0.16666666666203706,100.12077557895657
16,99.79499999999999,99.71,99.88,0.1700000000000017,-0.11764705882006922,100.266484106153
17,99.85,99.71,99.99,0.28000000000000114,-0.2682926829202856,100.32169765358853
18,99.905,99.71,100.1,0.39000000000000057,-0.33333333332592596,100.41338788476023
19,100.07499999999999,100.05,100.1,0.04999999999999716,-0.22448979591378593,100.17363483287868
20,100.07499999999999,100.05,100.1,0.04999999999999716,-0.22448979591378593,100.23964160222948
21,100.08,100.05,100.11,0.060000000000002274,-0.09523809523582767,100.4904622923982
22,100.08,100.05,100.11,0.060000000000002274,0.05555555555401235,100.70555171514332
23,100.05,99.97,100.13,0.1599999999999966,-0.024390243901844143,100.66816612850077
24,100.10499999999999,99.97,100.24,0.269999999999996,-0.14893617020959712,100.73847675802189
25,100.13499999999999,99.97,100.3,0.3299999999999983,-0.31034482758085613,100.86806569218207
26,100.16,99.97,100.35,0.37999999999999545,-0.3448275862009513,101.39188496469691
27,100.205,99.97,100.44,0.46999999999999886,-0.3448275862009513,101.60420438589264
28,100.22,99.97,100.47,0.5,-0.3448275862009513,101.45819767287298
29,100.27,99.97,100.57,0.5999999999999943,-0.15555555555209877,101.7748225445133
30,100.3,99.97,100.63,0.6599999999999966,-0.13513513513148284,102.05750033993942
31,100.42,99.97,100.87,0.9000000000000057,-0.1111111111080247,102.26671088631362
32,100.31,99.71,100.91,1.2000000000000028,-0.16129032257544224,101.65969368161065
33,100.375,99.71,101.04,1.3300000000000125,-0.27777777777006174,101.62946163885856
34,101.69999999999999,101.55,101.85,0.29999999999999716,-0.34999999999125003,101.91683001986897
35,101.845,101.84,101.85,0.009999999999990905,-0.14893617020959712,102.03284371562104
36,101.845,101.84,101.85,0.009999999999990905,-0.03846153846079882,101.95546260471801
37,101.845,101.84,101.85,0.009999999999990905,0.08474576271042804,102.12624701295148
38,101.845,101.84,101.85,0.009999999999990905,0.1578947368393352,102.16531102065515
39,101.845,101.84,101.85,0.009999999999990905,0.07692307692159764,102.00245037684127
40,101.845,101.84,101.85,0.009999999999990905,-0.01754385964881502,101.71518978874667
41,101.845,101.84,101.85,0.009999999999990905,-0.01754385964881502,101.79793035910781
42,101.845,101.84,101.85,0.009999999999990905,-0.05084745762625682,101.59497055898414
43,101.845,101.84,101.85,0.009999999999990905,-0.05084745762625682,101.57599946328986
44,101.845,101.84,101.85,0.009999999999990905,-0.11111111110934745,101.70213777132672
45,101.83,101.81,101.85,0.03999999999999204,-0.09374999999853516,101.41906972354491
46,101.82,101.79,101.85,0.05999999999998806,-0.22807017543459526,101.1824290987204
47,101.74,101.63,101.85,0.21999999999999886,-0.1864406779629417,101.26511116005626
48,101.74,101.63,101.85,0.21999999999999886,-0.29629629629080934,101.19154559435165
49,101.74,101.63,101.85,0.21999999999999886,-0.34615384614718936,100.86014168062925
50,101.69999999999999,101.55,101.85,0.29999999999999716,-0.22807017543459526,101.00273627837832
51,101.665,101.54,101.79,0.25,-0.15254237287877048,101.42008413826468
52,101.665,101.54,101.79,0.25,-0.17241379310047564,101.3133863328901
53,101.61500000000001,101.54,101.69,0.14999999999999147,-0.2258064516092612,101.22812931597514
54,101.61500000000001,101.54,101.69,0.14999999999999147,-0.24590163934023113,101.28110033793729
55,101.56,101.54,101.58,0.03999999999999204,-0.14754098360413867,101.42573503447703
56,101.56,101.54,101.58,0.03999999999999204,-0.1864406779629417,101.29433555585435
57,101.56,101.54,101.58,0.03999999999999204,-0.1599999999968,101.2410258559546
58,101.56,101.54,101.58,0.03999999999999204,-0.222222222218107,101.47054618427329
59,101.56,101.54,101.58,0.03999999999999204,-0.1599999999968,101.59433584372174
60,101.56,101.54,101.58,0.03999999999999204,-0.13725490195809306,101.79714608269998
61,101.56,101.54,101.58,0.03999999999999204,-0.08333333333159723,102.21168064953052
62,101.565,101.54,101.59,0.04999999999999716,-0.10204081632444816,101.95556369381383
63,101.525,101.46,101.59,0.13000000000000966,-0.0799999999984,101.61081016071743
64,101.49,101.46,101.52,0.060000000000002274,0.024390243901844143,101.33242012400673
65,101.49,101.46,101.52,0.060000000000002274,0.04999999999875,101.18077902042603
66,101.47999999999999,101.46,101.5,0.04000000000000625,0.19999999999428572,101.0434249212479
67,101.47999999999999,101.46,101.5,0.04000000000000625,0.10526315789196677,101.06360978194779
68,101.475,101.45,101.5,0.04999999999999716,0.14285714285306123,101.13327743344468
69,101.475,101.45,101.5,0.04999999999999716,0.0,100.75520011662755
70,101.41,101.32,101.5,0.18000000000000682,0.09677419354526536,100.98603934923541
